nice,io_counters,status,num_threads,pid,cpu_percent,memory_info,gids,name,cpu_times,memory_percent,ionice,num_fds,num_ctx_switches,cpu_affinity,memory_swap,tcp,udp,extended_stats,key,time_since_update,cmdline,username,iteration&time
0,"[0, 0, 0, 0, 0]",R,1,29755,39.4,"[42954752, 48648192, 2838528, 176128, 0, 40337408, 0]","[0, 0, 0]",dpkg,"[26.49, 45.51, 83.76, 25.37, 19.95]",0.5207146308050347,"[0, 0]",,"[427493, 695]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,True,pid,20.272241592407227,"['/usr/bin/dpkg', '--status-fd', '40', '--no-triggers', '--unpack', '--auto-deconfigure', '--recursive', '/tmp/apt-dpkg-install-MtKYWP']",root,1:1667129716.9581325
0,"[35528704, 0, 35528704, 0, 1]",S,1,414,0.6,"[75333632, 428564480, 26140672, 1728512, 0, 312287232, 0]","[1000, 1000, 1000]",python,"[35.95, 5.87, 0.0, 0.0, 0.22]",0.9132243243793456,,,,,,,,,pid,20.272241592407227,"['python', 'psaz_colllect.py', 'config.yaml']",aman,1:1667129716.9581325
0,"[19386368, 8192, 19386368, 8192, 1]",R,1,333,0.3,"[44081152, 201809920, 9416704, 1728512, 0, 49831936, 0]","[1000, 1000, 1000]",glances,"[20.92, 5.85, 0.61, 0.25, 0.14]",0.5343693007269746,,,,,,,,,pid,20.272241592407227,"['/home/aman/miniconda3/envs/srini/bin/python', '/home/aman/miniconda3/envs/srini/bin/glances', '-w', '--disable-webui']",aman,1:1667129716.9581325
0,"[16957440, 36864, 16957440, 36864, 1]",S,12,107,0.2,"[97353728, 987103232, 37900288, 70565888, 0, 141725696, 0]","[1000, 1000, 1000]",node,"[15.14, 9.28, 0.07, 0.16, 0.08]",1.1801607080169796,,,,,,,,,pid,20.272241592407227,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/out/bootstrap-fork', '--type=extensionHost', '--transformURIs', '--useHostProxy=true']",aman,1:1667129716.9581325
0,"[0, 0, 0, 0, 0]",S,1,29500,0.2,"[76312576, 86827008, 53702656, 20480, 0, 70205440, 0]","[0, 0, 0]",apt-get,"[2.12, 0.72, 10.95, 3.27, 0.0]",0.9250914738751406,,,,,,,,,pid,20.272241592407227,"['apt-get', 'install', '-y', 'kubuntu-desktop']",root,1:1667129716.9581325
0,"[2580480, 0, 2580480, 0, 1]",S,14,42,0.1,"[65482752, 678588416, 33222656, 70565888, 0, 128753664, 0]","[1000, 1000, 1000]",node,"[9.97, 6.18, 7.39, 1.61, 0.01]",0.7938080292438341,,,,,,,,,pid,20.272241592407227,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/out/bootstrap-fork', '--type=ptyHost', '--logsPath', '/home/aman/.vscode-server/data/logs/20221030T133819']",aman,1:1667129716.9581325
0,"[62394368, 241664, 62394368, 241664, 1]",S,11,22,0.0,"[85524480, 963391488, 35639296, 70565888, 0, 119607296, 0]","[1000, 1000, 1000]",node,"[8.71, 2.76, 1.4, 0.27, 0.18]",1.0367618471640243,,,,,,,,,pid,20.272241592407227,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/out/server-main.js', '--host=127.0.0.1', '--port=0', '--connection-token=1271534397-1809869357-1414484343-3502442202', '--use-host-proxy', '--without-browser-env-var', '--disable-websocket-compression', '--accept-server-license-terms', '--telemetry-level=all']",aman,1:1667129716.9581325
0,"[0, 0, 0, 0, 1]",S,7,35,0.0,"[46362624, 601149440, 30109696, 70565888, 0, 57196544, 0]","[1000, 1000, 1000]",node,"[1.22, 0.47, 0.0, 0.0, 0.0]",0.5620262139870494,,,,,,,,,pid,20.272241592407227,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '-e', "" const net = require('net'); process.stdin.pause(); const client = net.createConnection({ host: '127.0.0.1', port: 44211 }, () => { client.pipe(process.stdout); process.stdin.pipe(client); }); client.on('close', function (hadError) { console.error(hadError ? 'Remote close with error' : 'Remote close'); process.exit(hadError ? 1 : 0); }); client.on('error', function (err) { process.stderr.write(err && (err.stack || err.message) || String(err)); });""]",aman,1:1667129716.9581325
0,"[823296, 0, 823296, 0, 1]",S,13,77,0.0,"[45371392, 721338368, 32509952, 70565888, 0, 104222720, 0]","[1000, 1000, 1000]",node,"[0.81, 0.35, 0.0, 0.0, 0.0]",0.5500101044557423,,,,,,,,,pid,20.272241592407227,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/out/bootstrap-fork', '--type=fileWatcher']",aman,1:1667129716.9581325
0,"[327680, 0, 327680, 0, 1]",S,7,152,0.0,"[44269568, 603897856, 32149504, 70565888, 0, 56119296, 0]","[1000, 1000, 1000]",node,"[0.65, 0.04, 0.0, 0.0, 0.0]",0.5366533546048263,,,,,,,,,pid,20.272241592407227,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/extensions/json-language-features/server/dist/node/jsonServerMain', '--node-ipc', '--clientProcessId=107']",aman,1:1667129716.9581325
