nice,io_counters,status,num_threads,pid,cpu_percent,memory_info,gids,name,cpu_times,memory_percent,ionice,num_fds,num_ctx_switches,cpu_affinity,memory_swap,tcp,udp,extended_stats,key,time_since_update,cmdline,username,iteration&time
0,"[0, 0, 0, 0, 0]",S,1,5719,1.2,"[71651328, 83910656, 53518336, 4096, 0, 67325952, 0]","[0, 0, 0]",apt,"[0.81, 0.15, 4.95, 1.67, 0.0]",0.8685859670708945,"[0, 0]",,"[522, 3]","[0, 1, 2, 3, 4, 5, 6, 7]",,,,True,pid,20.200109481811523,"['apt', '-y', 'upgrade']",root,1:1667128987.6520083
0,"[35528704, 0, 35528704, 0, 1]",S,1,414,0.3,"[75268096, 428429312, 26140672, 1728512, 0, 312152064, 0]","[1000, 1000, 1000]",python,"[32.63, 5.45, 0.0, 0.0, 0.22]",0.9124298708566146,,,,,,,,,pid,20.200109481811523,"['python', 'psaz_colllect.py', 'config.yaml']",aman,1:1667128987.6520083
0,"[19386368, 8192, 19386368, 8192, 1]",R,1,333,0.2,"[43626496, 201224192, 9416704, 1728512, 0, 49246208, 0]","[1000, 1000, 1000]",glances,"[19.36, 5.38, 0.56, 0.22, 0.14]",0.528857779413028,,,,,,,,,pid,20.200109481811523,"['/home/aman/miniconda3/envs/srini/bin/python', '/home/aman/miniconda3/envs/srini/bin/glances', '-w', '--disable-webui']",aman,1:1667128987.6520083
0,"[16957440, 36864, 16957440, 36864, 1]",S,12,107,0.1,"[97566720, 987103232, 37900288, 70565888, 0, 141725696, 0]","[1000, 1000, 1000]",node,"[14.4, 8.74, 0.07, 0.16, 0.08]",1.1827426819658553,,,,,,,,,pid,20.200109481811523,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/out/bootstrap-fork', '--type=extensionHost', '--transformURIs', '--useHostProxy=true']",aman,1:1667128987.6520083
0,"[2580480, 0, 2580480, 0, 1]",S,14,42,0.1,"[65384448, 678588416, 33222656, 70565888, 0, 128753664, 0]","[1000, 1000, 1000]",node,"[9.39, 5.54, 6.73, 1.44, 0.01]",0.7926163489597376,,,,,,,,,pid,20.200109481811523,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/out/bootstrap-fork', '--type=ptyHost', '--logsPath', '/home/aman/.vscode-server/data/logs/20221030T133819']",aman,1:1667128987.6520083
0,"[0, 0, 0, 0, 0]",S,1,2167,0.1,"[94208, 1855488, 0, 1003520, 0, 454656, 0]","[0, 0, 0]",init,"[0.0, 0.07, 0.0, 0.0, 0.0]",0.0011420269389258888,,,,,,,,,pid,20.200109481811523,['/init'],root,1:1667128987.6520083
0,"[62394368, 241664, 62394368, 241664, 1]",S,11,22,0.0,"[85790720, 963391488, 35639296, 70565888, 0, 119607296, 0]","[1000, 1000, 1000]",node,"[8.51, 2.7, 1.4, 0.27, 0.18]",1.0399893146001193,,,,,,,,,pid,20.200109481811523,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/out/server-main.js', '--host=127.0.0.1', '--port=0', '--connection-token=1271534397-1809869357-1414484343-3502442202', '--use-host-proxy', '--without-browser-env-var', '--disable-websocket-compression', '--accept-server-license-terms', '--telemetry-level=all']",aman,1:1667128987.6520083
0,"[0, 0, 0, 0, 1]",S,7,35,0.0,"[46362624, 601149440, 30109696, 70565888, 0, 57196544, 0]","[1000, 1000, 1000]",node,"[1.18, 0.45, 0.0, 0.0, 0.0]",0.5620262139870494,,,,,,,,,pid,20.200109481811523,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '-e', "" const net = require('net'); process.stdin.pause(); const client = net.createConnection({ host: '127.0.0.1', port: 44211 }, () => { client.pipe(process.stdout); process.stdin.pipe(client); }); client.on('close', function (hadError) { console.error(hadError ? 'Remote close with error' : 'Remote close'); process.exit(hadError ? 1 : 0); }); client.on('error', function (err) { process.stderr.write(err && (err.stack || err.message) || String(err)); });""]",aman,1:1667128987.6520083
0,"[823296, 0, 823296, 0, 1]",S,13,77,0.0,"[45101056, 721338368, 32509952, 70565888, 0, 104222720, 0]","[1000, 1000, 1000]",node,"[0.79, 0.32, 0.0, 0.0, 0.0]",0.5467329836744766,,,,,,,,,pid,20.200109481811523,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/out/bootstrap-fork', '--type=fileWatcher']",aman,1:1667128987.6520083
0,"[327680, 0, 327680, 0, 1]",S,7,152,0.0,"[44269568, 603897856, 32149504, 70565888, 0, 56119296, 0]","[1000, 1000, 1000]",node,"[0.63, 0.03, 0.0, 0.0, 0.0]",0.5366533546048263,,,,,,,,,pid,20.200109481811523,"['/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/node', '/home/aman/.vscode-server/bin/d045a5eda657f4d7b676dedbfa7aab8207f8a075/extensions/json-language-features/server/dist/node/jsonServerMain', '--node-ipc', '--clientProcessId=107']",aman,1:1667128987.6520083
